Date,Team,away_basic_MP,away_basic_FG,away_basic_FGA,away_basic_FG%,away_basic_3P,away_basic_3PA,away_basic_3P%,away_basic_FT,away_basic_FTA,away_basic_FT%,away_basic_ORB,away_basic_DRB,away_basic_TRB,away_basic_AST,away_basic_STL,away_basic_BLK,away_basic_TOV,away_basic_PF,away_basic_PTS,away_advanced_MP,away_advanced_TS%,away_advanced_eFG%,away_advanced_3PAr,away_advanced_FTr,away_advanced_ORB%,away_advanced_DRB%,away_advanced_TRB%,away_advanced_AST%,away_advanced_STL%,away_advanced_BLK%,away_advanced_TOV%,away_advanced_USG%,away_advanced_ORtg,away_advanced_DRtg
2025-03-10,Dallas Mavericks,240,47,88,0.534,12,38,0.316,27,30,0.9,10,30,40,25,5,2,11,18,133,240,0.657,0.602,0.432,0.341,27.8,71.4,51.3,53.2,5.1,3.8,9.8,100.0,134.6,130.5
2025-03-10,Portland Trail Blazers,240,44,91,0.484,18,42,0.429,14,17,0.824,15,28,43,31,9,5,19,13,120,240,0.609,0.582,0.462,0.187,34.9,70.0,51.8,70.5,9.1,11.4,16.2,100.0,121.3,131.4
2025-03-10,New York Knicks,240,45,84,0.536,22,40,0.55,21,26,0.808,6,34,40,34,13,1,16,24,133,240,0.697,0.667,0.476,0.31,20.7,70.8,51.9,75.6,13.0,1.9,14.4,100.0,132.6,103.7
2025-03-11,Brooklyn Nets,240,39,84,0.464,16,44,0.364,10,14,0.714,8,30,38,31,9,3,15,21,104,240,0.577,0.56,0.524,0.167,18.2,71.4,44.2,79.5,9.3,6.4,14.3,100.0,106.9,112.0
2025-03-11,Washington Wizards,240,37,92,0.402,13,39,0.333,16,20,0.8,12,35,47,20,7,4,13,18,103,240,0.511,0.473,0.424,0.217,21.8,66.0,43.5,54.1,6.9,6.1,11.4,100.0,102.1,121.9
2025-03-11,Milwaukee Bucks,240,43,84,0.512,14,36,0.389,14,19,0.737,6,38,44,32,4,2,15,19,114,240,0.617,0.595,0.429,0.226,15.4,88.4,53.7,74.4,4.0,4.2,14.0,100.0,114.7,115.8
2025-03-11,Los Angeles Clippers,240,46,92,0.5,14,42,0.333,14,18,0.778,11,23,34,34,10,8,11,16,120,240,0.6,0.576,0.457,0.196,24.4,65.7,42.5,73.9,10.2,14.8,9.9,100.0,122.8,130.0
2025-03-12,Charlotte Hornets,240,40,88,0.455,14,35,0.4,16,18,0.889,10,37,47,29,9,9,21,26,110,240,0.573,0.534,0.398,0.205,25.0,74.0,52.2,72.5,8.7,17.3,18.0,100.0,106.4,119.0
2025-03-12,Oklahoma City Thunder,240,40,82,0.488,13,37,0.351,25,35,0.714,11,33,44,19,7,2,12,17,118,240,0.606,0.567,0.451,0.427,29.7,68.8,51.8,47.5,7.4,6.5,11.0,100.0,125.1,118.7
2025-03-12,Philadelphia 76ers,240,41,96,0.427,7,35,0.2,16,22,0.727,10,30,40,19,13,11,9,20,105,240,0.497,0.464,0.365,0.229,19.2,63.8,40.4,46.3,12.4,18.3,7.8,100.0,100.0,112.4
2025-03-12,Phoenix Suns,240,39,73,0.534,10,28,0.357,16,20,0.8,5,32,37,22,7,8,17,18,104,240,0.636,0.603,0.384,0.274,15.6,74.4,49.3,56.4,7.5,16.0,17.2,100.0,111.7,119.2
2025-03-12,Utah Jazz,240,42,90,0.467,12,34,0.353,19,28,0.679,17,43,60,24,6,8,23,17,115,240,0.562,0.533,0.378,0.311,33.3,89.6,60.6,57.1,5.6,16.0,18.4,100.0,108.1,114.7
2025-03-12,Los Angeles Clippers,240,45,76,0.592,13,27,0.481,16,24,0.667,11,34,45,24,7,0,18,10,119,240,0.687,0.678,0.355,0.316,35.5,79.1,60.8,53.3,7.7,0.0,17.2,100.0,130.4,113.9
2025-03-12,Dallas Mavericks,240,45,81,0.556,13,32,0.406,13,17,0.765,3,28,31,30,8,0,18,12,116,240,0.656,0.636,0.395,0.21,8.1,68.3,39.7,66.7,7.8,0.0,16.9,100.0,113.6,123.4
2025-03-12,Minnesota Timberwolves,240,43,90,0.478,17,40,0.425,12,16,0.75,12,36,48,31,7,5,15,16,115,240,0.593,0.572,0.444,0.178,28.6,75.0,53.3,72.1,7.3,8.5,13.4,100.0,120.6,99.7
2025-03-12,New York Knicks,265,44,94,0.468,12,31,0.387,14,20,0.7,11,27,38,27,12,7,15,21,114,265,0.554,0.532,0.33,0.213,26.2,56.3,42.2,61.4,11.7,14.6,12.7,100.0,111.4,110.5
2025-03-13,Washington Wizards,240,43,90,0.478,20,45,0.444,23,27,0.852,10,37,47,30,10,5,16,29,129,240,0.633,0.589,0.5,0.3,23.8,80.4,53.4,69.8,9.6,9.1,13.6,100.0,123.2,119.4
2025-03-13,Los Angeles Lakers,240,38,87,0.437,15,40,0.375,15,18,0.833,5,33,38,18,3,4,14,23,106,240,0.558,0.523,0.46,0.207,10.9,82.5,44.2,47.4,2.9,8.7,12.9,100.0,103.3,122.8
2025-03-13,Brooklyn Nets,240,43,96,0.448,11,34,0.324,13,18,0.722,15,35,50,32,6,7,9,26,110,240,0.529,0.505,0.354,0.188,30.6,72.9,51.5,74.4,6.3,13.2,8.0,100.0,116.4,122.7
2025-03-13,Orlando Magic,240,43,83,0.518,13,33,0.394,14,18,0.778,8,31,39,25,7,7,11,20,113,240,0.621,0.596,0.398,0.217,21.6,73.8,49.4,58.1,7.8,13.0,10.8,100.0,125.5,103.3
