Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_monthBatchRetrain,Home_monthBatchRetrain,Away_monthBatchRetrain,ActualWinner_monthBatchRetrain,PredictedWinner_monthBatchRetrain,ActualSpread_monthBatchRetrain,PredictedSpread_monthBatchRetrain,SpreadError_monthBatchRetrain,Correct_monthBatchRetrain,HomePoints_monthBatchRetrain,AwayPoints_monthBatchRetrain,PredictedHomePoints_monthBatchRetrain,PredictedAwayPoints_monthBatchRetrain
2024-11-15,Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers,18.0,11.6,6.4,True,144.0,126.0,134.8,123.3,2024-11-23,San Antonio Spurs,Golden State Warriors,San Antonio Spurs,San Antonio Spurs,10.0,3.5,6.5,True,104.0,94.0,116.9,113.4
2024-11-15,Atlanta Hawks,Washington Wizards,Atlanta Hawks,Atlanta Hawks,12.0,6.2,5.8,True,129.0,117.0,127.2,121.0,2024-11-23,Los Angeles Lakers,Denver Nuggets,Denver Nuggets,Los Angeles Lakers,25.0,4.4,20.6,False,102.0,127.0,121.2,116.8
2024-11-15,Toronto Raptors,Detroit Pistons,Detroit Pistons,Detroit Pistons,4.0,5.9,1.9000000000000004,True,95.0,99.0,97.8,103.7,2024-11-23,Milwaukee Bucks,Charlotte Hornets,Milwaukee Bucks,Milwaukee Bucks,6.0,6.0,0.0,True,125.0,119.0,116.8,110.8
2024-11-15,Orlando Magic,Philadelphia 76ers,Orlando Magic,Orlando Magic,12.0,10.2,1.8000000000000007,True,98.0,86.0,99.1,89.0,2024-11-23,Houston Rockets,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,6.0,10.4,4.4,False,98.0,104.0,113.2,102.9
2024-11-15,Indiana Pacers,Miami Heat,Miami Heat,Miami Heat,13.0,8.0,5.0,True,111.0,124.0,112.5,120.6,2024-11-23,Chicago Bulls,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,11.0,3.8,7.2,True,131.0,142.0,118.4,122.2
2024-11-15,New York Knicks,Brooklyn Nets,New York Knicks,New York Knicks,2.0,1.4,0.6000000000000001,True,124.0,122.0,119.5,118.1,2024-11-23,Orlando Magic,Detroit Pistons,Orlando Magic,Orlando Magic,11.0,4.2,6.8,True,111.0,100.0,107.2,102.9
2024-11-16,Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Charlotte Hornets,1.0,5.3,4.3,True,115.0,114.0,109.9,104.5,2024-11-23,Utah Jazz,New York Knicks,Utah Jazz,New York Knicks,15.0,8.1,6.9,False,121.0,106.0,102.6,110.7
2024-11-16,Boston Celtics,Toronto Raptors,Boston Celtics,Boston Celtics,3.0,5.5,2.5,True,126.0,123.0,123.7,118.2,2024-11-24,Boston Celtics,Minnesota Timberwolves,Boston Celtics,Minnesota Timberwolves,2.0,1.0,1.0,False,107.0,105.0,116.7,117.7
2024-11-16,New Orleans Pelicans,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,5.0,0.4,4.6,True,99.0,104.0,104.1,104.5,2024-11-24,Indiana Pacers,Washington Wizards,Indiana Pacers,Indiana Pacers,12.0,9.9,2.0999999999999996,True,115.0,103.0,120.3,110.4
2024-11-16,Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,Dallas Mavericks,17.0,15.0,2.0,True,110.0,93.0,111.0,96.0,2024-11-24,Miami Heat,Dallas Mavericks,Miami Heat,Dallas Mavericks,5.0,0.7,4.3,False,123.0,118.0,111.5,112.2
